285	MOUNT_UPGRADE	Binicilik (Çevik toynak)			Kısa süre üzerine bindiğinde hareket hızını artırır.					PASSIVE		mount_upgrade_skill_nimble					Hareket hızı: +%%%.0f	(4+(horselv*skilllv/100))*(skilllv/3)					
286	MOUNT_UPGRADE	Binicilik (EXP)			Sürüş sırasında EXP bonusunu artırır					PASSIVE		mount_upgrade_skill_exp					EXP-Bonus artırıldı: +%%%.0f	((horselv*skilllv/100)+1.5)+(skilllv/8)					
287	MOUNT_UPGRADE	Binicilik (Öfkeli fırtına)			Kısa süre üzerine bindiğinde saldırı hızını artırır.					PASSIVE		mount_upgrade_skill_speed					Saldırı hızı artırıldı: +%%%.0f	(5+(horselv*skilllv/600))*(skilllv/5)					
288	MOUNT_UPGRADE	Binicilik (Hafif adım)			SÜRMEDİĞİNDE hafif adımı etkinleştirir.					PASSIVE		mount_upgrade_skill_gyeonggong					Hafif adım hasarı: %.0f-%.0f	(horselv*(skilllv*5))/40*skilllv	(horselv*(skilllv*10))/40*skilllv				
289	MOUNT_UPGRADE	Binicilik (Yenilmezlik)			HP değerin %30'un altına düştüğünde 3 saniyeye kadar yenilmez olursun.					PASSIVE		mount_upgrade_skill_invisibility						(horselv*(skilllv*0.3))/60					
290	MOUNT_UPGRADE	Binicilik (Geri tepme yok)			Saldırılan canavarlar kısa süreliğine geri tepilmez.					PASSIVE		mount_upgrade_skill_knockback											
291	MOUNT_UPGRADE	Binicilik (Yarı İnsanlara karşı güçlü)			Yarı İnsanlara karşı hasarı artırır.					PASSIVE		mount_upgrade_skill_random_strong					Yarı insanlara karşı güçlü: +%%%.0f	1+(skilllv*horselv/100)					
292	MOUNT_UPGRADE	Binicilik (Hayvanlara karşı güçlü)			Hayvanlara karşı hasarı artırır.					PASSIVE		mount_upgrade_skill_random_strong					Hayvanlara karşı güçlü: +%%%.0f	1+(skilllv*horselv/100)					
293	MOUNT_UPGRADE	Binicilik (Orklara karşı güçlü)			Orklara karşı hasarı artırır.					PASSIVE		mount_upgrade_skill_random_strong					Orklara karşı güçlü: +%%%.0f	1+(skilllv*horselv/100)					
294	MOUNT_UPGRADE	Binicilik (Mistiklere karşı güçlü)			Mistiklere karşı hasarı artırır.					PASSIVE		mount_upgrade_skill_random_strong					Mistiklere karşı güçlü: +%%%.0f	1+(skilllv*horselv/100)					
295	MOUNT_UPGRADE	Binicilik (Ölümsüzlere karşı güçlü)			Ölümsüzlere karşı hasarı artırır.					PASSIVE		mount_upgrade_skill_random_strong					Ölümsüzlere karşı güçlü: +%%%.0f	1+(skilllv*horselv/100)					
296	MOUNT_UPGRADE	Binicilik (Şeytanlara karşı güçlü)			Şeytanlara karşı hasarı artırır.					PASSIVE		mount_upgrade_skill_random_strong					Şeytanlara karşı güçlü: +%%%.0f	1+(skilllv*horselv/100)					
297	MOUNT_UPGRADE	Binicilik (Zodyak canavarlarına karşı güçlü)			Zodyak canavarlarına karşı hasarı artırır.					PASSIVE		mount_upgrade_skill_random_strong					Zodyak canavarına karşı güçlü: +%%%.0f	1+(skilllv*horselv/100)					
298	MOUNT_UPGRADE	Binicilik (Çöl canavarlarına karşı güçlü)			Çöl canavarlarına karşı hasarı artırır.					PASSIVE		mount_upgrade_skill_random_strong					Çöl canavarına karşı güçlü: +%%%.0f	1+(skilllv*horselv/100)					
299	MOUNT_UPGRADE	Binicilik (Böceklere karşı güçlü)			Böceklere karşı hasarı artırır.					PASSIVE		mount_upgrade_skill_random_strong					Böceklere karşı güçlü +%%%.0f	1+(skilllv*horselv/100)					
300	MOUNT_UPGRADE	Binicilik (Tüm canavarlara karşı güçlü)			Tüm canavarlara karşı hasarı artırır.					PASSIVE		mount_upgrade_skill_random_strong					Tüm canavarlara karşı güçlü: +%%%.0f	1+(skilllv*horselv/100)					
301	MOUNT_UPGRADE	Binicilik (At becerisi)			Bineğinin becerilerini artırır 					PASSIVE		mount_upgrade_skill_effect_up					Bonus beceriler: +%%%.2f	100*skilllv/(140-horselv)					
302	MOUNT_UPGRADE	Binicilik (Savaşçılara karşı güçlü)			Savaşçılara karşı güçlü					PASSIVE		mount_upgrade_skill_random_strong					Savaşçılara karşı güçlü: +%%%.0f	1+(skilllv*horselv/100)					
303	MOUNT_UPGRADE	Binicilik (Ninjalara karşı güçlü)			Ninjalara karşı güçlü					PASSIVE		mount_upgrade_skill_random_strong					Ninjalara karşı güçlü: +%%%.0f	1+(skilllv*horselv/100)					
304	MOUNT_UPGRADE	Binicilik (Suralara karşı güçlü)			Suralara karşı güçlü					PASSIVE		mount_upgrade_skill_random_strong					Suralara karşı güçlü: +%%%.0f	1+(skilllv*horselv/100)					
305	MOUNT_UPGRADE	Binicilik (Şamanlara karşı güçlü)			Şamanlara karşı güçlü					PASSIVE		mount_upgrade_skill_random_strong					Şamanlara karşı güçlü: +%%%.0f	1+(skilllv*horselv/100)					
306	MOUNT_UPGRADE	Binicilik (Lycanlara karşı güçlü)			Lycanlara karşı güçlü					PASSIVE		mount_upgrade_skill_random_strong					Lycanlara karşı güçlü: +%%%.0f	1+(skilllv*horselv/100)					
307	MOUNT_UPGRADE	Binicilik (SungMa iradesi STR)			At üzerinde savaşırken SungMa iradesini (STR) artırır.					PASSIVE		mount_upgrade_skill_sungma_str					SungMa iradesi (STR): +%.0f	3+(horselv*skilllv)*(skilllv/500)					
308	MOUNT_UPGRADE	Binicilik (SungMa iradesi VIT)			At üzerinde savaşırken SungMa iradesini (VIT) artırır.					PASSIVE		mount_upgrade_skill_sungma_hp					SungMa iradesi (VIT): +%.0f	3+(horselv*skilllv)*(skilllv/500)					
309	MOUNT_UPGRADE	Binicilik (SungMa iradesi RES)			At üzerinde savaşırken SungMa iradesini (RES) artırır.					PASSIVE		mount_upgrade_skill_sungma_move					SungMa iradesi (RES): +%.0f	3+(horselv*skilllv)*(skilllv/500)					
310	MOUNT_UPGRADE	Binicilik (SungMa iradesi INT)			At üzerinde savaşırken SungMa iradesini (INT) artırır.					PASSIVE		mount_upgrade_skill_sungma_immune					SungMa iradesi (INT): +%.0f	3+(horselv*skilllv)*(skilllv/500)					
311	MOUNT_UPGRADE	Binicilik (Tamlık)			Sürüş sırasında tamlık oranını artırır.					PASSIVE		mount_upgrade_skill_hit_pct					Tamlık bonusu: +%.0f	1+(skilllv*horselv/100)					
